year,seconds
1913.41666666667,254.4
1915.58333333333,252.6
1923.66666666667,250.4
1931.83333333333,249.2
1933.58333333333,247.6
1934.5,246.8
1937.66666666667,246.4
1942.58333333333,246.2
1942.58333333333,246.2
1942.75,244.6
1943.58333333333,242.6
1944.58333333333,241.6
1945.58333333333,241.4
1954.41666666667,239.4
1954.5,238
1957.58333333333,237.2
1958.66666666667,234.5
1962.08333333333,234.4
1964.91666666667,234.1
1965.5,233.6
1966.58333333333,231.3
1967.5,231.1
1975.41666666667,231
1975.66666666667,229.4
1979.58333333333,229
1980.58333333333,228.8
1981.66666666667,228.53
1981.68333333333,228.4
1981.69166666667,227.33
1985.58333333333,226.32
1993.75,224.39
1999.58333333333,223.13
