id,prep,environment,exposure,mtdna,irsf,cp,read_pairs,clonality,read_length,c_t,g_a,temp,pH,oxygen,water
39,Boiled,Submerged sand,14,4.6,NA,NA,NA,NA,NA,NA,NA,10.8,7.2,Anoxic,Waterlogged
40,Boiled,Submerged sand,27,3.4,NA,NA,NA,NA,NA,NA,NA,10.8,7.2,Anoxic,Waterlogged
69,Boiled,Marine water,4,2.1,NA,NA,NA,NA,NA,NA,NA,10.0,8.6,Oxic,Waterlogged
70,Boiled,Marine water,14,0.6,NA,NA,NA,NA,NA,NA,NA,10.0,8.6,Oxic,Waterlogged
71,Boiled,Marine water,28,4.8,NA,NA,NA,NA,NA,NA,NA,10.0,8.6,Oxic,Waterlogged
72,Boiled,Marine water,53,0.5,NA,NA,NA,NA,NA,NA,NA,10.0,8.6,Oxic,Waterlogged
41,Baked,Control,0,100,3.345 ± 0.012,0.197 ± 0.001,50 016 190,0.07,116,0.008,0.007,NA,NA,NA,NA
50,Baked,Terrestrial sand,4,9.3,NA,NA,18 261 032,0.09,112,0.015,0.014,12.9,7.3,Oxic,Fluctuating
51,Baked,Terrestrial sand,15,6.6,NA,NA,NA,NA,NA,NA,NA,12.9,7.3,Oxic,Fluctuating
52,Baked,Terrestrial sand,26,3,NA,NA,NA,NA,NA,NA,NA,12.9,7.3,Oxic,Fluctuating
53,Baked,Terrestrial sand,52,1.5,3.285 ± 0.010,0.231 ± 0.003,18 490 108,0.06,112,0.014,0.014,12.9,7.3,Oxic,Fluctuating
46,Baked,Tidal zone,2,8.5,NA,NA,37 331 342,0.19,123,0.011,0.009,10.1,8.8,Oxic,Fluctuating
47,Baked,Tidal zone,11,21.5,NA,NA,NA,NA,NA,NA,NA,10.1,8.8,Oxic,Fluctuating
48,Baked,Tidal zone,28,5.9,NA,NA,NA,NA,NA,NA,NA,10.1,8.8,Oxic,Fluctuating
49,Baked,Tidal zone,52,2,NA,NA,40 655 594,0.03,111,0.009,0.008,10.1,8.8,Oxic,Fluctuating
124,Baked,Tidal zone,99,2,3.237 ± 0.022,0.212 ± 0.005,63 699 628,0.01,131,0.006,0.005,10.1,8.8,Oxic,Fluctuating
42,Baked,Submerged gyttja,4,6.8,NA,NA,74 273 201,0.07,119,0.006,0.007,10.0,7.2,Anoxic,Waterlogged
43,Baked,Submerged gyttja,14,2,NA,NA,NA,NA,NA,NA,NA,10.0,7.2,Anoxic,Waterlogged
44,Baked,Submerged gyttja,28,4.5,NA,NA,NA,NA,NA,NA,NA,10.0,7.2,Anoxic,Waterlogged
45,Baked,Submerged gyttja,53,0.9,3.218 ± 0.010,0.227 ± 0.002,142 779 978,0.75,127,0.008,0.007,10.0,7.2,Anoxic,Waterlogged
58,Baked,Submerged sand,4,1.8,NA,NA,NA,NA,NA,NA,NA,10.8,7.2,Anoxic,Waterlogged
59,Baked,Submerged sand,14,1.5,NA,NA,NA,NA,NA,NA,NA,10.8,7.2,Anoxic,Waterlogged
60,Baked,Submerged sand,27,2.2,NA,NA,NA,NA,NA,NA,NA,10.8,7.2,Anoxic,Waterlogged
