order,family,species,mass,bmr
Rodentia,Muridae,Sigmodon ochrognathus,115.1,0.86
Rodentia,Muridae,Steatomys pratensis,37.5,0.105
Rodentia,Muridae,Stochomys longicaudatus,83.3,0.547
Rodentia,Muridae,Tachyoryctes splendens,197,0.856
Rodentia,Muridae,Tatera afra,106.5,1.016
Rodentia,Muridae,Tatera indica,86.9,0.422
Rodentia,Muridae,Tatera leucogaster,145.2,0.752
Rodentia,Muridae,Thallomys nigricauda,124.7,0.382
Rodentia,Muridae,Thallomys paedulcus,132.4,0.487
Rodentia,Muridae,Uromys caudimaculatus,812,3.184
Rodentia,Myoxidae,Graphiurus murinus,38.4,0.225
Rodentia,Myoxidae,Graphiurus ocularis,67.8,0.37
Rodentia,Myoxidae,Muscardinus avellanarius,23.5,0.351
Rodentia,Myoxidae,Myoxus glis,174.4,0.664
Rodentia,Octodontidae,Aconaemys fuscus,112,0.675
Rodentia,Octodontidae,Octodon bridgesi,176.1,1.023
Rodentia,Octodontidae,Octodon degus,199.6,0.958
Rodentia,Octodontidae,Octodon lunatus,173.2,0.957
Rodentia,Octodontidae,Octodontomys gliroides,154.1,0.715
Rodentia,Octodontidae,Octomys mimax,118.6,0.642
Rodentia,Octodontidae,Spalacopus cyanus,126.2,0.561
Rodentia,Octodontidae,Tympanoctomys barrerae,71.4,0.43
Rodentia,Peditidae,Pedetes capensis,2300,4.427
Rodentia,Sciuridae,Ammospermophilus leucurus,94.1,0.511
Rodentia,Sciuridae,Cynomys ludovicianus,1112.3,2.358
Rodentia,Sciuridae,Epixerus wilsoni,460,1.347
Rodentia,Sciuridae,Funisciurus anerythrus,63,0.58
Rodentia,Sciuridae,Funisciurus congicus,112.3,0.533
Rodentia,Sciuridae,Funisciurus isabella,60,0.57
Rodentia,Sciuridae,Funisciurus lemniscatus,95,0.5
Rodentia,Sciuridae,Funisciurus pyrrhopus,244,1.011
Rodentia,Sciuridae,Glaucomys volans,67.4,0.414
Rodentia,Sciuridae,Heliosciurus rufobrachium,230,0.744
Rodentia,Sciuridae,Marmota flaviventris,4295,8.626
Rodentia,Sciuridae,Marmota monax,2650,3.696
Rodentia,Sciuridae,Paraxerus cepapi,223.6,0.811
Rodentia,Sciuridae,Paraxerus palliatus,274.8,1.191
Rodentia,Sciuridae,Sciurus aberti,624,2.402
Rodentia,Sciuridae,Sciurus carolinensis,440,2.062
Rodentia,Sciuridae,Spermophilus armatus,313.2,0.915
Rodentia,Sciuridae,Spermophilus beecheyi,599.6,1.773
Rodentia,Sciuridae,Spermophilus beldingi,293.7,0.796
Rodentia,Sciuridae,Spermophilus citellus,240,1.272
Rodentia,Sciuridae,Spermophilus franklinii,607,2.19
Rodentia,Sciuridae,Spermophilus lateralis,249.6,0.967
Rodentia,Sciuridae,Spermophilus mohavensis,240,0.629
Rodentia,Sciuridae,Spermophilus parryii,650,2.901
Rodentia,Sciuridae,Spermophilus richardsonii,266.3,0.788
Rodentia,Sciuridae,Spermophilus saturatus,256.6,0.849
Rodentia,Sciuridae,Spermophilus spilosoma,170.4,0.543
Rodentia,Sciuridae,Spermophilus tereticaudus,125.1,0.501
Rodentia,Sciuridae,Spermophilus townsendii,224,0.634
Rodentia,Sciuridae,Spermophilus tridecemlineatus,198.4,0.983
Rodentia,Sciuridae,Spermophilus undulatus,698,3.601
Rodentia,Sciuridae,Tamias alpinus,39,0.322
Rodentia,Sciuridae,Tamias amoenus,55.7,0.5
Rodentia,Sciuridae,Tamias merriami,76.9,0.459
Rodentia,Sciuridae,Tamias minimus,49.3,0.349
Rodentia,Sciuridae,Tamias palmeri,69.4,0.631
Rodentia,Sciuridae,Tamias striatus,89.6,0.813
Rodentia,Sciuridae,Tamiasciurus hudsonicus,219.6,1.615
Rodentia,Sciuridae,Xerus inauris,528.5,1.775
Rodentia,Sciuridae,Xerus princeps,614.4,1.936
Scandentia,Tupaiidae,Ptilocercus lowii,57.5,0.24
Scandentia,Tupaiidae,Tupaia glis,123,0.522
Scandentia,Tupaiidae,Urogale everetti,260.6,1.25
Sirenia,Trichechidae,Trichechus inunguis,167594.5,55.015
Tubulidentata,Orycteropodidae,Orycteropus afer,48000,34.275
Xenarthra,Bradypodidae,Bradypus variegatus,3790,3.827
Xenarthra,Dasypodidae,Cabassous centralis,4061.7,4.812
Xenarthra,Dasypodidae,Chaetophractus nationi,2150,3.118
Xenarthra,Dasypodidae,Chaetophractus vellerosus,1110,1.707
Xenarthra,Dasypodidae,Chaetophractus villosus,4540,4.508
Xenarthra,Dasypodidae,Dasypus novemcinctus,3413.7,4.655
Xenarthra,Dasypodidae,Euphractus sexcinctus,8190,6.901
Xenarthra,Dasypodidae,Priodontes maximus,45190,16.892
Xenarthra,Dasypodidae,Tolypeutes matacus,1160,1.172
Xenarthra,Dasypodidae,Zaedyus pichiy,1740,2.192
Xenarthra,Megalonychidae,Choloepus hoffmanni,4005.2,3.891
Xenarthra,Myrmecophagidae,Cyclopes didactylus,240,0.636
Xenarthra,Myrmecophagidae,Myrmecophaga tridactyla,30600,14.543
Xenarthra,Myrmecophagidae,Tamandua mexicana,3884.2,5.124
Xenarthra,Myrmecophagidae,Tamandua tetradactyla,3500,5.015
